eform,SLICES
-3.0,Ba Ba Ba Nb Nb Cu O O O O O O O O O 0 10 --o 0 8 ooo 0 9 oo- 0 6 o-o 0 11 -o- 0 14 oo- 0 12 ooo 0 13 --o 0 7 --- 0 14 ooo 0 13 --o 0 13 ooo 0 12 --o 0 14 o-o 0 9 -oo 0 11 ooo 0 8 ooo 0 6 --o 1 11 ooo 1 10 ooo 1 12 o+o 1 6 -oo 1 9 oo+ 1 9 oo+ 1 7 o+o 1 7 ooo 1 8 o++ 1 8 ooo 1 10 oo+ 1 14 o+o 1 10 oo+ 1 13 -oo 2 11 +oo 2 14 ooo 2 6 o-o 2 6 +oo 2 7 ooo 2 8 ooo 2 11 +oo 2 12 ooo 2 10 ooo 2 9 ooo 3 7 ooo 3 8 ooo 3 9 ooo 3 12 ooo 3 13 o+o 3 14 ooo 4 11 ooo 4 7 ooo 4 13 ooo 4 6 ooo 4 14 ooo 5 12 oo+ 5 10 --o 5 9 ooo
-3.0,Sr Sr Gd Sb O O O O O O 0 9 oo- 0 9 ooo 0 6 oo- 0 6 -oo 0 5 oo- 0 5 o-o 0 4 -oo 0 4 ooo 0 8 o-o 0 8 -oo 0 7 o-o 0 7 ooo 1 7 oo+ 1 7 +oo 1 6 oo+ 1 6 +oo 1 9 o+o 1 9 ooo 1 8 o+o 1 8 ooo 1 4 oo+ 1 4 o+o 1 5 +oo 1 5 ooo 2 7 o-o 2 8 --o 2 6 -o- 2 4 -oo 2 9 oo- 2 5 o-- 3 9 ooo 3 6 ooo 3 5 ooo 3 4 ooo 3 7 ooo 3 8 ooo
-3.0,Ba Ba Mn W O O O O O F 0 5 oo- 0 5 o-o 0 7 o-o 0 7 -oo 0 9 ooo 0 9 o-o 0 6 o-o 0 6 -oo 0 8 oo- 0 8 oo- 0 4 ooo 0 4 -oo 1 4 o+o 1 4 +oo 1 7 o+o 1 7 oo+ 1 8 ooo 1 8 oo+ 1 9 +oo 1 9 o+o 1 5 +oo 1 5 oo+ 1 6 ooo 1 6 o+o 2 4 -oo 2 7 o-o 2 8 --o 2 9 o-- 2 6 -o- 2 5 oo- 3 6 ooo 3 5 ooo 3 4 ooo 3 8 ooo 3 7 ooo 3 9 ooo
-3.0,Rb Rb Rb Rb Ta Ta Ta Ta O O O O O O O O O O O O 0 9 oo- 0 10 +o- 0 18 +oo 0 8 ooo 0 11 o-o 0 13 +oo 0 13 +-o 0 16 ooo 0 15 ooo 0 12 ooo 1 9 -o+ 1 8 oo+ 1 10 ooo 1 17 -oo 1 14 -oo 1 19 ooo 1 12 ooo 1 11 ooo 2 16 ooo 2 9 +oo 2 8 +oo 2 18 ooo 2 17 ooo 2 15 +oo 2 13 ooo 2 11 ooo 2 19 ooo 3 8 -oo 3 12 ooo 3 12 -oo 3 14 ooo 3 10 ooo 3 14 ooo 3 10 ooo 3 16 -oo 3 11 oo- 4 13 -+o 4 12 o+o 4 19 ooo 4 15 oo+ 5 18 ooo 5 9 o-+ 5 14 o-o 5 15 ooo 6 19 -oo 6 10 ooo 6 9 ooo 6 17 ooo 6 13 -oo 6 17 ooo 7 12 ooo 7 11 o+- 7 8 ooo 7 14 o+o 7 16 ooo 7 15 o+o
-3.0,Mg Mg Cr Cr O F F F F F F F F F F 0 9 ooo 0 12 ooo 0 10 ooo 0 4 ooo 0 6 ooo 0 8 ooo 0 5 ooo 1 14 ooo 1 13 ooo 1 11 ooo 1 7 ooo 1 10 ooo 1 9 ooo 2 4 oo- 2 7 o-o 2 8 ooo 2 10 o-- 2 5 oo- 2 6 o-o 3 11 oo+ 3 9 -oo 3 12 --o 3 7 o-o 3 8 -oo 3 11 o-o
-3.0,Ba Ba Er Sb O O O O O O 0 5 oo- 0 5 o-o 0 7 -oo 0 7 o-o 0 8 oo- 0 8 o-o 0 9 -oo 0 9 ooo 0 6 oo- 0 6 ooo 0 4 -oo 0 4 ooo 1 6 +oo 1 6 oo+ 1 5 ooo 1 5 +oo 1 4 oo+ 1 4 o+o 1 7 oo+ 1 7 +oo 1 8 o+o 1 8 ooo 1 9 ooo 1 9 o+o 2 4 --o 2 8 -oo 2 9 o-o 2 7 -o- 2 6 o-- 2 5 oo- 3 5 ooo 3 8 ooo 3 6 ooo 3 9 ooo 3 4 ooo 3 7 ooo
-3.0,Cs Cs Li Nd Ti Nb Nb Nb O O O O O O O O O O O O 0 18 -oo 0 18 -+o 0 15 o+o 0 19 o+o 0 19 -oo 0 14 ooo 0 9 o+o 0 9 ooo 0 11 -oo 0 11 -oo 0 12 ooo 0 12 -o+ 1 19 ooo 1 19 ooo 1 18 o-o 1 10 +oo 1 8 ooo 1 8 o-o 1 10 ooo 1 13 +oo 1 18 o-+ 1 13 o-o 1 14 +oo 1 15 ooo 2 16 ooo 2 16 +oo 2 11 oo- 2 16 +oo 2 12 ooo 2 9 ooo 2 15 ooo 2 14 ooo 2 11 oo- 2 13 ooo 2 8 ooo 2 17 ooo 3 17 ooo 3 17 ooo 3 14 oo+ 3 13 -oo 3 8 o-o 3 12 ooo 3 10 --o 3 9 oo+ 3 10 ooo 3 15 ooo 3 16 oo+ 3 19 ooo 4 8 --o 4 12 ooo 4 13 ooo 4 17 --o 4 16 -oo 4 12 o-o 5 14 oo- 5 12 ooo 5 13 ooo 5 16 ooo 5 11 ooo 5 9 oo- 6 14 ooo 6 15 ooo 6 10 ooo 6 17 ooo 6 15 ooo 6 19 ooo 7 8 ooo 7 18 ooo 7 11 ooo 7 9 ooo 7 19 ooo 7 10 ooo
-4.0,Sm Sm Hf Hf F F F F F F F F F F F F F F 0 4 ooo 0 5 ooo 0 6 ooo 0 16 ooo 0 8 ooo 0 10 ooo 0 14 ooo 0 12 ooo 1 5 ooo 1 4 -oo 1 7 -oo 1 17 ooo 1 9 ooo 1 11 ooo 1 15 ooo 1 13 ooo 2 12 oo- 2 11 ooo 2 14 ooo 2 7 o+o 2 9 o+o 2 17 +oo 3 13 oo+ 3 10 -oo 3 15 ooo 3 6 o-o 3 8 --o 3 16 ooo
-4.0,Sr Sr Hf Hf O O O O O O 0 5 oo- 0 5 o-o 0 6 -oo 0 6 oo- 0 7 ooo 0 7 o-o 0 4 -oo 0 4 ooo 0 9 oo- 0 9 ooo 0 8 o-o 0 8 -oo 1 8 oo+ 1 8 ooo 1 9 o+o 1 9 +oo 1 5 +oo 1 5 ooo 1 4 oo+ 1 4 o+o 1 7 +oo 1 7 oo+ 1 6 ooo 1 6 o+o 2 6 -o- 2 5 o-- 2 4 -oo 2 9 oo- 2 8 --o 2 7 o-o 3 4 ooo 3 5 ooo 3 9 ooo 3 8 ooo 3 6 ooo 3 7 ooo
-4.0,Lu Lu Lu Lu Ho Ho Te O O O O O O O O O O O O O 0 11 +-o 0 15 o-o 0 12 o-o 0 19 ooo 0 16 o-o 0 8 ooo 0 13 +oo 0 18 +o- 1 10 ooo 1 14 ooo 1 17 ooo 1 9 ooo 1 18 ooo 1 13 ooo 1 12 oo+ 1 19 ooo 2 9 -+o 2 17 o+o 2 13 o+o 2 10 -oo 2 14 ooo 2 16 ooo 2 15 -o+ 2 11 -oo 3 8 ooo 3 12 ooo 3 18 ooo 3 19 ooo 3 16 ooo 3 15 ooo 3 11 ooo 3 14 oo- 4 19 ooo 4 11 -oo 4 8 ooo 4 12 -oo 4 17 -oo 4 15 ooo 5 8 ooo 5 10 oo- 5 16 oo- 5 19 -o- 5 15 ooo 5 12 o-o 6 18 ooo 6 16 o-o 6 9 ooo 6 14 o-o 6 13 ooo 6 11 o-o 7 14 -oo 7 17 oo- 7 9 ooo 7 10 -o- 7 13 oo- 7 12 -oo
-4.0,Ba Ba Hf Hf O O O O O O 0 6 -oo 0 6 oo- 0 4 -oo 0 4 ooo 0 7 ooo 0 7 o-o 0 5 oo- 0 5 o-o 0 8 -oo 0 8 o-o 0 9 oo- 0 9 ooo 1 7 oo+ 1 7 ooo 1 8 oo+ 1 8 ooo 1 5 +oo 1 5 ooo 1 4 o+o 1 4 oo+ 1 9 +oo 1 9 o+o 1 6 ooo 1 6 o+o 2 6 -o- 2 4 -oo 2 8 --o 2 9 oo- 2 5 o-- 2 7 o-o 3 4 ooo 3 5 ooo 3 8 ooo 3 9 ooo 3 7 ooo 3 6 ooo
-4.0,Lu Lu Se O F F 0 4 ooo 0 4 +oo 0 4 o-o 0 5 +-o 0 5 ooo 0 2 ooo 0 3 o-o 0 3 +oo 0 3 ooo 1 5 -++ 1 5 oo+ 1 3 -++ 1 2 ooo 1 2 ooo 1 2 -oo 1 2 o+o 1 4 ooo 1 3 ooo
-4.0,Sr Sr Zr Zr O O O O O O 0 6 oo- 0 6 -oo 0 5 o-o 0 5 oo- 0 8 -oo 0 8 o-o 0 7 ooo 0 7 o-o 0 4 -oo 0 4 ooo 0 9 oo- 0 9 ooo 1 4 oo+ 1 4 o+o 1 6 oo+ 1 6 ooo 1 9 o+o 1 9 +oo 1 8 ooo 1 8 o+o 1 5 ooo 1 5 +oo 1 7 oo+ 1 7 +oo 2 9 ooo 2 8 ooo 2 7 ooo 2 5 ooo 2 4 ooo 2 6 ooo 3 4 -oo 3 8 -o- 3 5 o-- 3 7 o-o 3 9 oo- 3 6 --o
-4.0,Si Si Si Si Si O O O O O O O O O O 0 5 ooo 0 9 ooo 0 6 -oo 0 10 ooo 1 14 ooo 1 7 +oo 1 9 ooo 1 11 ooo 2 7 oo+ 2 8 +o+ 2 12 o-+ 2 8 o-o 3 6 ooo 3 11 o+o 3 13 -oo 3 5 o+o 4 12 ooo 4 14 ooo 4 10 ooo
-4.0,Ba Ba Sm Sm Sm Sm Sm Sm O O O O O O O O O O O 0 17 oo- 0 17 o-o 0 8 -oo 0 12 oo- 0 12 ooo 0 11 oo- 0 15 -oo 0 10 o-o 0 9 -oo 1 9 +oo 1 9 o+o 1 13 oo+ 1 10 +oo 1 13 oo+ 1 10 o+o 1 14 oo+ 1 8 o+o 1 11 +oo 1 11 o+o 2 13 o-o 2 14 -oo 2 10 oo- 2 12 o-o 2 18 oo- 2 15 -oo 2 17 ooo 2 16 o-o 3 16 oo+ 3 11 +oo 3 9 o+o 3 8 oo+ 3 15 oo+ 3 14 +oo 3 18 ooo 3 12 ooo 4 11 --o 4 10 oo- 4 13 o-- 4 8 -o- 4 9 o-o 4 15 -oo 5 9 ooo 5 14 ooo 5 10 ooo 5 13 ooo 5 8 ooo 5 12 ooo 6 11 ooo 6 12 ooo 6 18 ooo 6 16 ooo 6 16 ooo 7 14 ooo 7 15 ooo 7 17 ooo 7 15 ooo 7 18 +oo
-4.0,Ca Ca Ca Ca Al Al Al Al O O O O O O O O O O 0 15 ooo 0 11 ooo 0 13 +oo 0 12 o-o 0 14 ooo 0 8 ooo 0 16 +-o 0 9 o-o 1 10 ooo 1 17 o-+ 1 12 oo+ 1 9 oo+ 1 13 o-o 1 8 ooo 1 10 oo+ 1 11 oo+ 2 15 ooo 2 14 oo+ 2 11 ooo 2 8 ooo 2 17 oo+ 2 16 ooo 2 9 oo+ 2 12 oo+ 3 10 ooo 3 10 ooo 3 17 ooo 3 9 ooo 3 16 ooo 3 8 ooo 4 14 ooo 4 11 ooo 4 15 +oo 4 13 ooo 5 12 +oo 5 15 +oo 5 16 oo- 5 9 +oo 6 14 oo+ 6 11 o-o 6 13 oo+ 6 8 oo+ 7 17 oo+ 7 10 o-o 7 8 oo+ 7 9 o-o
-4.0,K Rb Rb Er F F F F F F 0 5 -oo 0 5 oo- 0 7 ooo 0 7 o-o 0 6 ooo 0 6 o-o 0 8 oo- 0 8 oo- 0 9 o-o 0 9 -oo 0 4 ooo 0 4 -oo 1 9 o+o 1 9 ooo 1 8 oo+ 1 8 ooo 1 5 +oo 1 5 ooo 1 6 oo+ 1 6 ooo 1 4 +oo 1 4 o+o 1 7 oo+ 1 7 ooo 2 8 ooo 2 9 ooo 2 7 ooo 2 4 ooo 2 6 ooo 2 5 ooo 3 6 o-o 3 8 o-- 3 9 oo- 3 4 --o 3 5 -o- 3 7 -oo
-4.0,Ce Ce Hf Hf O O O O O O O O 0 9 o-o 0 7 o-- 0 8 oo- 0 10 o-o 0 5 o-- 0 6 --- 0 11 --o 0 4 ooo 1 4 ooo 1 7 +oo 1 9 ooo 1 8 o-o 1 6 ooo 1 5 ooo 1 10 ooo 1 11 +oo 2 8 ooo 2 5 ooo 2 6 oo- 2 11 oo- 2 7 ooo 2 10 ooo 2 9 ooo 2 4 oo- 3 4 o-o 3 8 ooo 3 11 ooo 3 10 +oo 3 6 oo- 3 5 +-o 3 9 ooo 3 7 ooo
-4.0,Tm Tm Tm Tm Tm Tm Tm Tm O O O O O O O O O O O O 0 14 -+o 0 9 o+o 0 10 o+o 0 19 -oo 0 12 ooo 0 11 ooo 0 17 -o+ 0 18 -oo 1 19 ooo 1 11 ooo 1 12 ooo 1 14 ooo 1 10 ooo 1 9 ooo 1 15 oo+ 1 16 ooo 2 8 ooo 2 15 ooo 2 16 ooo 2 13 ooo 2 17 ooo 2 18 ooo 2 11 ooo 2 12 oo- 3 13 +-o 3 18 o-o 3 17 o-o 3 8 +oo 3 16 ooo 3 15 ooo 3 10 +o- 3 9 +oo 4 11 oo- 4 8 -oo 4 9 ooo 4 10 -o- 4 19 oo- 4 15 -oo 5 16 -oo 5 8 ooo 5 17 -oo 5 11 ooo 5 19 -oo 5 12 ooo 6 10 oo- 6 17 o-o 6 15 ooo 6 12 o-- 6 13 o-o 6 14 oo- 7 18 o-o 7 9 ooo 7 13 o-o 7 14 ooo 7 16 ooo 7 18 o-o
-4.0,Sr Hf O O O 0 3 ooo 0 3 +oo 0 3 o+o 0 3 ++o 0 2 oo+ 0 2 +o+ 0 2 o++ 0 2 ooo 0 4 ++o 0 4 oo+ 0 4 ooo 0 4 o+o 1 2 o-o 1 2 ooo 1 4 ooo 1 4 -oo 1 3 ooo 1 3 oo-
-4.0,Ba Ba Ba Ba Er Er Er Er O O O O O O O O F F F F 0 14 ooo 0 13 +oo 0 13 +oo 0 18 ooo 0 15 ooo 0 8 ooo 0 8 ooo 0 16 o+o 0 11 oo- 0 11 oo- 0 19 ooo 0 16 ooo 1 15 o-o 1 12 -oo 1 12 -oo 1 12 --o 1 19 ooo 1 9 -oo 1 17 ooo 1 9 ooo 1 10 ooo 1 10 o-o 1 14 oo+ 1 18 ooo 2 15 ooo 2 9 o+o 2 17 ++o 2 10 ooo 2 18 +oo 2 17 o+o 2 15 ooo 2 18 ooo 2 11 ooo 2 16 ooo 2 14 ooo 2 13 oo+ 3 14 -oo 3 16 ooo 3 11 ooo 3 13 -oo 3 8 o-o 3 8 ooo 3 19 --o 3 19 o-o 3 17 o-o 3 12 ooo 3 10 -oo 3 9 -o- 4 16 -o- 4 12 o-o 4 12 ooo 4 11 -oo 4 19 --o 4 14 ooo 5 13 +oo 5 18 o+o 5 9 ooo 5 8 oo+ 5 10 ooo 5 15 ooo 6 19 ooo 6 13 ooo 6 14 ooo 6 8 ooo 6 18 ooo 6 17 ooo 7 15 o-o 7 9 oo- 7 16 oo- 7 10 ooo 7 11 ooo 7 12 o--
-4.0,K K Rb Sc F F F F F F 0 6 +oo 0 6 ooo 0 5 +oo 0 5 o+o 0 8 o+o 0 8 ooo 0 4 o+o 0 4 oo+ 0 9 oo+ 0 9 ooo 0 7 oo+ 0 7 +oo 1 5 ooo 1 5 oo- 1 6 o-o 1 6 oo- 1 8 -oo 1 8 oo- 1 9 o-o 1 9 -oo 1 4 -oo 1 4 ooo 1 7 o-o 1 7 ooo 2 7 ooo 2 4 ooo 2 9 ooo 2 6 ooo 2 8 ooo 2 5 ooo 3 6 o-- 3 9 --o 3 7 o-o 3 4 -oo 3 5 oo- 3 8 -o-
-4.0,La La Sm Sm Sm Sm Se Se O O O O O F F F F F 0 8 oo- 0 10 -oo 0 15 -o- 0 9 ooo 0 11 ooo 0 14 o-o 0 13 o-- 1 15 +oo 1 9 ooo 1 14 o+o 1 12 +oo 1 8 o+o 1 13 +oo 1 12 ooo 2 17 oo- 2 10 -+o 2 17 oo- 2 16 ooo 2 16 oo- 2 11 ooo 2 8 o+o 2 9 ooo 3 11 ooo 3 14 o-- 3 16 -oo 3 17 ooo 3 15 o-o 3 10 ooo 3 12 ooo 3 13 ooo 4 15 ooo 4 14 +oo 4 11 ooo 4 10 +oo 4 12 ooo 4 6 ooo 5 17 o+o 5 16 ooo 5 13 ooo 5 7 -oo 5 9 -o- 5 8 ooo
